cell_A,cell_B,N_matches,both_active,avg_joint_pnl_cents,joint_ROI_pct,avg_capital_cents,avg_winner_pnl,avg_loser_pnl
ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,16,16,15.6,1.5,1026,150,-134
ATP_CHALL_leader_50-54,ATP_CHALL_leader_55-59,9,9,57.8,5.3,1088,189,-131
ATP_CHALL_leader_50-54,ATP_CHALL_leader_60-64,3,0,-6.7,-0.6,1120,90,-97
ATP_CHALL_leader_50-54,ATP_CHALL_leader_65-69,4,4,-35.0,-3.0,1170,300,-335
ATP_CHALL_leader_50-54,ATP_CHALL_leader_70-74,4,4,-85.0,-6.9,1235,200,-285
ATP_CHALL_leader_50-54,ATP_CHALL_leader_85-89,5,5,-36.0,-2.6,1370,102,-138
ATP_CHALL_leader_50-54,ATP_CHALL_underdog_35-39,4,4,147.5,16.5,895,140,8
ATP_CHALL_leader_50-54,ATP_CHALL_underdog_40-44,5,5,166.0,17.6,942,180,-14
ATP_CHALL_leader_50-54,ATP_CHALL_underdog_45-49,49,49,-29.6,-3.0,1001,140,-169
ATP_CHALL_leader_55-59,ATP_CHALL_leader_65-69,4,4,-155.0,-12.7,1225,250,-405
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,5,5,218.0,23.2,940,146,72
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_40-44,53,53,97.4,9.7,1003,242,-144
ATP_CHALL_leader_55-59,ATP_CHALL_underdog_45-49,65,65,-24.0,-2.3,1026,161,-185
ATP_CHALL_leader_60-64,ATP_CHALL_underdog_25-29,3,0,116.7,13.0,897,110,7
ATP_CHALL_leader_60-64,ATP_CHALL_underdog_30-34,7,0,-55.7,-5.9,943,60,-116
ATP_CHALL_leader_60-64,ATP_CHALL_underdog_35-39,50,0,65.6,6.5,1003,72,-6
ATP_CHALL_leader_60-64,ATP_CHALL_underdog_40-44,57,0,34.9,3.4,1025,158,-123
ATP_CHALL_leader_60-64,ATP_CHALL_underdog_45-49,6,0,-213.3,-19.4,1100,95,-308
ATP_CHALL_leader_65-69,ATP_CHALL_underdog_25-29,4,0,272.5,29.1,935,255,18
ATP_CHALL_leader_65-69,ATP_CHALL_underdog_30-34,43,0,105.6,10.5,1007,269,-163
ATP_CHALL_leader_65-69,ATP_CHALL_underdog_35-39,58,58,-5.9,-0.6,1029,231,-237
ATP_CHALL_leader_65-69,ATP_CHALL_underdog_40-44,14,14,-106.4,-9.9,1078,300,-406
ATP_CHALL_leader_65-69,ATP_CHALL_underdog_45-49,3,3,-513.3,-46.0,1117,130,-643
ATP_CHALL_leader_70-74,ATP_CHALL_underdog_25-29,41,0,89.3,9.0,997,244,-155
ATP_CHALL_leader_70-74,ATP_CHALL_underdog_30-34,35,0,-23.7,-2.3,1027,230,-254
ATP_CHALL_leader_70-74,ATP_CHALL_underdog_35-39,8,8,242.5,22.2,1091,250,-8
ATP_CHALL_leader_75-79,ATP_CHALL_underdog_15-19,6,0,30.0,3.2,940,170,-140
ATP_CHALL_leader_75-79,ATP_CHALL_underdog_20-24,32,32,58.8,5.9,1003,112,-54
ATP_CHALL_leader_75-79,ATP_CHALL_underdog_25-29,35,0,60.0,5.9,1023,119,-59
ATP_CHALL_leader_75-79,ATP_CHALL_underdog_30-34,7,0,-61.4,-5.7,1083,121,-183
ATP_CHALL_leader_75-79,ATP_CHALL_underdog_35-39,4,4,-335.0,-29.6,1130,108,-442
ATP_CHALL_leader_80-84,ATP_CHALL_underdog_10-14,4,4,132.5,13.9,952,150,-18
ATP_CHALL_leader_80-84,ATP_CHALL_underdog_15-19,31,0,107.7,10.7,1002,171,-63
ATP_CHALL_leader_80-84,ATP_CHALL_underdog_20-24,27,27,-23.3,-2.3,1033,150,-173
ATP_CHALL_leader_80-84,ATP_CHALL_underdog_25-29,5,0,84.0,7.7,1096,266,-182
ATP_CHALL_leader_85-89,ATP_CHALL_underdog_10-14,14,14,99.3,10.0,995,86,13
ATP_CHALL_leader_85-89,ATP_CHALL_underdog_15-19,22,0,20.5,2.0,1024,114,-93
ATP_CHALL_leader_85-89,ATP_CHALL_underdog_20-24,5,5,-174.0,-16.2,1076,102,-276
ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_45-49,3,3,6.7,0.8,880,243,-237
ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,3,3,-140.0,-15.0,933,130,-270
ATP_MAIN_leader_50-54,ATP_MAIN_leader_50-54,7,7,-27.1,-2.6,1027,120,-147
ATP_MAIN_leader_50-54,ATP_MAIN_leader_55-59,7,0,-127.1,-11.8,1081,127,-254
ATP_MAIN_leader_50-54,ATP_MAIN_leader_60-64,4,0,-222.5,-20.0,1112,142,-365
ATP_MAIN_leader_50-54,ATP_MAIN_underdog_40-44,3,0,210.0,22.2,947,100,110
ATP_MAIN_leader_50-54,ATP_MAIN_underdog_45-49,9,9,20.0,2.0,1004,84,-64
ATP_MAIN_leader_55-59,ATP_MAIN_underdog_40-44,7,0,-150.0,-15.0,1003,101,-251
ATP_MAIN_leader_55-59,ATP_MAIN_underdog_45-49,7,0,111.4,10.7,1039,146,-34
ATP_MAIN_leader_60-64,ATP_MAIN_underdog_35-39,4,0,-222.5,-22.6,985,135,-358
ATP_MAIN_leader_60-64,ATP_MAIN_underdog_40-44,14,0,79.3,7.7,1032,137,-58
ATP_MAIN_leader_60-64,ATP_MAIN_underdog_45-49,7,0,-175.7,-16.1,1093,103,-279
ATP_MAIN_leader_70-74,ATP_MAIN_underdog_20-24,4,0,-37.5,-3.9,958,210,-248
ATP_MAIN_leader_70-74,ATP_MAIN_underdog_25-29,15,0,82.0,8.2,1002,183,-101
ATP_MAIN_leader_70-74,ATP_MAIN_underdog_30-34,18,18,26.7,2.6,1027,163,-137
ATP_MAIN_leader_70-74,ATP_MAIN_underdog_35-39,3,0,290.0,26.7,1087,170,120
ATP_MAIN_leader_70-74,ATP_MAIN_underdog_45-49,5,5,-230.0,-19.3,1194,118,-348
WTA_CHALL_leader_55-59,WTA_CHALL_underdog_40-44,6,6,-245.0,-24.4,1005,250,-495
WTA_MAIN_leader_50-54,WTA_MAIN_leader_50-54,7,7,200.0,19.5,1026,100,100
WTA_MAIN_leader_50-54,WTA_MAIN_leader_55-59,7,0,-265.7,-24.6,1080,100,-366
WTA_MAIN_leader_50-54,WTA_MAIN_leader_80-84,3,3,-566.7,-42.9,1320,123,-690
WTA_MAIN_leader_50-54,WTA_MAIN_underdog_45-49,9,9,75.6,7.5,1002,107,-31
WTA_MAIN_leader_55-59,WTA_MAIN_underdog_40-44,9,0,115.6,11.5,1009,153,-38
WTA_MAIN_leader_55-59,WTA_MAIN_underdog_45-49,6,0,-100.0,-9.7,1030,105,-205
WTA_MAIN_leader_60-64,WTA_MAIN_underdog_35-39,8,0,10.0,1.0,1001,88,-78
WTA_MAIN_leader_60-64,WTA_MAIN_underdog_40-44,3,0,130.0,12.7,1027,70,60
WTA_MAIN_leader_65-69,WTA_MAIN_underdog_30-34,4,0,390.0,38.8,1005,230,160
WTA_MAIN_leader_65-69,WTA_MAIN_underdog_35-39,14,0,116.4,11.3,1029,196,-79
WTA_MAIN_leader_65-69,WTA_MAIN_underdog_40-44,3,0,130.0,12.1,1077,230,-100
WTA_MAIN_leader_65-69,WTA_MAIN_underdog_45-49,3,3,156.7,13.7,1147,230,-73
WTA_MAIN_leader_70-74,WTA_MAIN_underdog_25-29,4,4,222.5,22.0,1010,250,-28
WTA_MAIN_leader_70-74,WTA_MAIN_underdog_30-34,7,0,-55.7,-5.5,1020,237,-293
WTA_MAIN_leader_85-89,WTA_MAIN_underdog_15-19,3,0,130.0,12.5,1037,140,-10
