ticker,cell,fill_price,anchor_source,play_type,ts
KXATPCHALLENGERMATCH-26APR24ERESTE-STE,ATP_CHALL_underdog_40-44,48,,C_discount,2026-04-24 02:21:26 PM ET
KXATPCHALLENGERMATCH-26APR24BAXHEM-BAX,ATP_CHALL_underdog_35-39,38,,C_discount,2026-04-24 02:55:57 PM ET
KXATPCHALLENGERMATCH-26APR24CHABEN-BEN,ATP_CHALL_leader_55-59,57,,C_discount,2026-04-24 03:38:06 PM ET
KXATPCHALLENGERMATCH-26APR24KWONHSU-HSU,ATP_CHALL_underdog_25-29,28,,C_discount,2026-04-24 10:06:06 PM ET
KXATPCHALLENGERMATCH-26APR24HOLRIE-HOL,ATP_CHALL_underdog_25-29,38,,C_discount,2026-04-24 10:17:23 PM ET
KXATPCHALLENGERMATCH-26APR25SKAFOM-FOM,ATP_CHALL_underdog_20-24,23,,C_discount,2026-04-25 02:09:33 AM ET
KXATPMATCH-26APR24CERHAN-HAN,ATP_MAIN_underdog_30-34,28,,C_discount,2026-04-25 02:10:01 AM ET
KXWTAMATCH-26APR25BENSHN-BEN,WTA_MAIN_leader_60-64,61,,C_discount,2026-04-25 02:26:06 AM ET
KXATPMATCH-26APR24MUNRUU-MUN,ATP_MAIN_underdog_30-34,30,,C_discount,2026-04-25 02:33:47 AM ET
KXWTAMATCH-26APR25SAMBON-BON,WTA_MAIN_leader_70-74,74,,C_discount,2026-04-25 02:33:51 AM ET
KXWTAMATCH-26APR25BENSHN-SHN,WTA_MAIN_underdog_35-39,38,,C_discount,2026-04-25 02:50:34 AM ET
KXATPMATCH-26APR24DAVCAR-CAR,ATP_MAIN_underdog_35-39,35,,C_discount,2026-04-25 02:51:07 AM ET
KXATPMATCH-26APR24CERHAN-CER,ATP_MAIN_leader_70-74,71,,C_discount,2026-04-25 02:59:35 AM ET
KXWTAMATCH-26APR25FERJOV-FER,WTA_MAIN_underdog_35-39,39,,C_discount,2026-04-25 03:16:14 AM ET
KXATPMATCH-26APR24HUMATM-HUM,ATP_MAIN_underdog_40-44,44,,C_discount,2026-04-25 04:09:45 AM ET
KXATPMATCH-26APR24NAKBLO-NAK,ATP_MAIN_underdog_40-44,41,,C_discount,2026-04-25 04:55:08 AM ET
KXATPMATCH-26APR25CERDAR-CER,ATP_MAIN_underdog_35-39,40,,C_discount,2026-04-25 05:39:16 AM ET
KXATPMATCH-26APR24GAUAUG-GAU,ATP_MAIN_underdog_20-24,23,,C_discount,2026-04-25 05:59:56 AM ET
KXWTAMATCH-26APR25BAPPAO-BAP,WTA_MAIN_underdog_40-44,41,,C_discount,2026-04-25 08:54:29 AM ET
KXATPMATCH-26APR24BUBTSI-TSI,ATP_MAIN_underdog_35-39,37,,C_discount,2026-04-25 11:36:39 AM ET
KXATPCHALLENGERMATCH-26APR25ONCHEM-ONC,ATP_CHALL_leader_70-74,70,,C_discount,2026-04-25 12:20:23 PM ET
KXATPCHALLENGERMATCH-26APR25CHASTE-STE,ATP_CHALL_leader_65-69,65,,C_discount,2026-04-25 12:48:05 PM ET
KXWTAMATCH-26APR25KALOSA-OSA,WTA_MAIN_leader_60-64,58,,C_discount,2026-04-25 01:01:33 PM ET
KXATPCHALLENGERMATCH-26APR25PEAPEL-PEA,ATP_CHALL_underdog_35-39,39,,C_discount,2026-04-25 07:35:13 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,ATP_CHALL_underdog_30-34,30,,C_discount,2026-04-25 09:33:34 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-KWON,ATP_CHALL_leader_70-74,72,,C_discount,2026-04-25 09:44:56 PM ET
KXATPMATCH-26APR26PRIETC-ETC,ATP_MAIN_leader_50-54,53,,C_discount,2026-04-25 09:57:21 PM ET
KXATPMATCH-26APR26LEHMIC-LEH,ATP_MAIN_leader_70-74,69,,C_discount,2026-04-25 11:15:46 PM ET
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,ATP_CHALL_underdog_10-14,10,,C_discount,2026-04-25 11:20:17 PM ET
KXWTAMATCH-26APR26PEGKOS-PEG,WTA_MAIN_leader_55-59,58,,C_discount,2026-04-25 11:21:58 PM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,ATP_CHALL_underdog_10-14,10,,C_discount,2026-04-25 11:33:06 PM ET
KXATPMATCH-26APR26LEHMIC-MIC,ATP_MAIN_underdog_30-34,31,,C_discount,2026-04-25 11:40:35 PM ET
KXATPMATCH-26APR26PRIETC-PRI,ATP_MAIN_underdog_45-49,47,,C_discount,2026-04-25 11:50:44 PM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,ATP_CHALL_leader_55-59,58,,deadline_force_take,2026-04-26 12:14:08 AM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,ATP_CHALL_underdog_45-49,44,,deadline_force_take,2026-04-26 12:14:09 AM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,ATP_CHALL_leader_85-89,91,,deadline_force_take,2026-04-26 12:14:09 AM ET
KXWTAMATCH-26APR25CIRGAU-CIR,WTA_MAIN_underdog_20-24,19,,C_discount,2026-04-26 12:32:03 AM ET
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,ATP_CHALL_underdog_30-34,31,,C_discount,2026-04-26 12:35:12 AM ET
KXWTAMATCH-26APR25CIRGAU-GAU,WTA_MAIN_leader_80-84,80,,C_discount,2026-04-26 12:43:51 AM ET
KXATPMATCH-26APR26NORTIR-TIR,ATP_MAIN_underdog_40-44,43,,C_discount,2026-04-26 12:50:31 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,ATP_CHALL_underdog_25-29,29,,C_discount,2026-04-26 01:00:45 AM ET
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,WTA_CHALL_leader_50-54,54,,C_discount,2026-04-26 01:09:15 AM ET
KXWTAMATCH-26APR25SIESON-SIE,WTA_MAIN_underdog_40-44,40,,C_discount,2026-04-26 01:19:49 AM ET
KXWTAMATCH-26APR25SIESON-SON,WTA_MAIN_leader_55-59,59,,C_discount,2026-04-26 01:21:17 AM ET
KXWTAMATCH-26APR25MERPLI-MER,WTA_MAIN_leader_65-69,68,,C_discount,2026-04-26 01:35:00 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-DEL,ATP_CHALL_leader_80-84,80,,C_discount,2026-04-26 01:41:34 AM ET
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,ATP_CHALL_underdog_20-24,21,,C_discount,2026-04-26 02:08:11 AM ET
KXATPMATCH-26APR26GRIMUS-GRI,ATP_MAIN_underdog_20-24,20,,C_discount,2026-04-26 02:30:57 AM ET
KXWTAMATCH-26APR26PEGKOS-KOS,WTA_MAIN_underdog_40-44,42,,C_discount,2026-04-26 02:37:23 AM ET
KXATPMATCH-26APR26KOPRIN-RIN,ATP_MAIN_leader_55-59,59,,C_discount,2026-04-26 02:42:06 AM ET
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,WTA_CHALL_leader_60-64,62,,C_discount,2026-04-26 03:16:38 AM ET
KXWTACHALLENGERMATCH-26APR26KUDFER-KUD,WTA_CHALL_leader_60-64,61,,C_discount,2026-04-26 03:32:13 AM ET
KXATPCHALLENGERMATCH-26APR26ZHUTAK-TAK,ATP_CHALL_underdog_25-29,25,,C_discount,2026-04-26 03:42:07 AM ET
KXWTAMATCH-26APR25NOSSAM-SAM,WTA_MAIN_underdog_35-39,39,,C_discount,2026-04-26 04:09:50 AM ET
KXATPCHALLENGERMATCH-26APR26NICMOE-MOE,ATP_CHALL_underdog_45-49,49,,C_discount,2026-04-26 04:10:36 AM ET
KXWTAMATCH-26APR26SINMCC-MCC,WTA_MAIN_leader_55-59,56,,C_discount,2026-04-26 04:36:42 AM ET
KXWTAMATCH-26APR25NOSSAM-NOS,WTA_MAIN_leader_60-64,61,,C_discount,2026-04-26 04:46:39 AM ET
KXATPCHALLENGERMATCH-26APR26GUNKRA-GUN,ATP_CHALL_underdog_25-29,28,,C_discount,2026-04-26 05:48:48 AM ET
KXATPMATCH-26APR26FONJOD-FON,ATP_MAIN_underdog_45-49,46,,C_discount,2026-04-26 05:55:42 AM ET
KXWTAMATCH-26APR25POTOST-POT,WTA_MAIN_underdog_45-49,47,,C_discount,2026-04-26 06:09:21 AM ET
KXWTACHALLENGERMATCH-26APR26BELLEW-BEL,WTA_CHALL_leader_60-64,60,,C_discount,2026-04-26 08:12:29 AM ET
KXATPMATCH-26APR26KOPRIN-KOP,ATP_MAIN_underdog_40-44,41,,C_discount,2026-04-26 08:56:29 AM ET
KXWTAMATCH-26APR25ZHERYB-ZHE,WTA_MAIN_underdog_20-24,21,,C_discount,2026-04-26 10:41:00 AM ET
KXATPCHALLENGERMATCH-26APR26KENBAS-KEN,ATP_CHALL_underdog_30-34,32,,C_discount,2026-04-26 11:21:34 AM ET
KXATPCHALLENGERMATCH-26APR26KENBAS-BAS,ATP_CHALL_leader_70-74,70,,C_discount,2026-04-26 11:22:38 AM ET
KXATPCHALLENGERMATCH-26APR26NEUFON-NEU,ATP_CHALL_leader_80-84,79,,C_discount,2026-04-26 11:40:19 AM ET
KXATPCHALLENGERMATCH-26APR26ONCSTE-ONC,ATP_CHALL_leader_75-79,73,,C_discount,2026-04-26 12:22:28 PM ET
KXATPCHALLENGERMATCH-26APR26BUSSUA-BUS,ATP_CHALL_underdog_20-24,20,,C_discount,2026-04-26 12:23:09 PM ET
KXWTAMATCH-26APR27SIEPLI-PLI,WTA_MAIN_leader_60-64,63,,C_discount,2026-04-26 01:03:58 PM ET
KXATPCHALLENGERMATCH-26APR26KUHSAN-SAN,ATP_CHALL_underdog_20-24,24,,C_discount,2026-04-26 03:31:26 PM ET
KXATPCHALLENGERMATCH-26APR26ILAPEA-PEA,ATP_CHALL_underdog_10-14,14,,C_discount,2026-04-26 07:44:27 PM ET
KXWTAMATCH-26APR27BENBAP-BEN,WTA_MAIN_leader_70-74,70,,C_discount,2026-04-26 08:07:34 PM ET
KXATPCHALLENGERMATCH-26APR26ILAPEA-ILA,ATP_CHALL_leader_80-84,84,,C_discount,2026-04-26 08:53:26 PM ET
KXATPCHALLENGERMATCH-26APR27MOCCAM-MOC,ATP_CHALL_underdog_20-24,22,,C_discount,2026-04-26 09:28:30 PM ET
KXATPCHALLENGERMATCH-26APR27ORLVIT-VIT,ATP_CHALL_underdog_20-24,22,,C_discount,2026-04-26 09:28:31 PM ET
KXATPCHALLENGERMATCH-26APR26SHAMOR-MOR,ATP_CHALL_underdog_20-24,22,,C_discount,2026-04-26 09:41:49 PM ET
KXATPCHALLENGERMATCH-26APR27GALSWE-SWE,ATP_CHALL_underdog_40-44,43,,C_discount,2026-04-26 11:19:18 PM ET
KXATPCHALLENGERMATCH-26APR27MATJAS-JAS,ATP_CHALL_underdog_40-44,40,,C_discount,2026-04-26 11:43:20 PM ET
KXATPCHALLENGERMATCH-26APR27LAJSAN-LAJ,ATP_CHALL_leader_70-74,72,,C_discount,2026-04-26 11:44:07 PM ET
KXATPCHALLENGERMATCH-26APR27MILTOK-MIL,ATP_CHALL_leader_55-59,55,,C_discount,2026-04-26 11:44:09 PM ET
KXWTACHALLENGERMATCH-26APR27MIKLAN-MIK,WTA_CHALL_underdog_40-44,43,,C_discount,2026-04-26 11:45:40 PM ET
KXATPCHALLENGERMATCH-26APR27GALSWE-GAL,ATP_CHALL_leader_55-59,57,,C_discount,2026-04-26 11:45:41 PM ET
KXWTAMATCH-26APR27ANDBON-AND,WTA_MAIN_leader_80-84,83,,C_discount,2026-04-26 11:54:38 PM ET
KXATPCHALLENGERMATCH-26APR27MASDEL-MAS,ATP_CHALL_leader_65-69,69,,C_discount,2026-04-27 12:06:55 AM ET
KXATPCHALLENGERMATCH-26APR27BROGAK-BRO,ATP_CHALL_underdog_35-39,39,,C_discount,2026-04-27 12:36:15 AM ET
KXATPCHALLENGERMATCH-26APR27BERERH-ERH,ATP_CHALL_leader_55-59,55,,C_discount,2026-04-27 01:13:25 AM ET
KXATPCHALLENGERMATCH-26APR27JORIAN-IAN,ATP_CHALL_underdog_35-39,38,,C_discount,2026-04-27 01:31:35 AM ET
KXATPCHALLENGERMATCH-26APR27ARNCAS-ARN,ATP_CHALL_leader_85-89,85,,C_discount,2026-04-27 01:36:32 AM ET
KXWTAMATCH-26APR27BENBAP-BAP,WTA_MAIN_underdog_25-29,31,,C_discount,2026-04-27 01:38:49 AM ET
KXATPCHALLENGERMATCH-26APR27BOISIN-SIN,ATP_CHALL_leader_50-54,51,,C_discount,2026-04-27 01:38:51 AM ET
KXATPCHALLENGERMATCH-26APR27KIRFUK-FUK,ATP_CHALL_underdog_20-24,20,,C_discount,2026-04-27 02:13:37 AM ET
KXATPCHALLENGERMATCH-26APR27PIEWIS-PIE,ATP_CHALL_leader_50-54,52,,C_discount,2026-04-27 02:34:33 AM ET
KXATPCHALLENGERMATCH-26APR27BRUKRA-BRU,ATP_CHALL_leader_70-74,74,,C_discount,2026-04-27 04:10:58 AM ET
KXATPCHALLENGERMATCH-26APR27CERMOL-MOL,ATP_CHALL_leader_55-59,55,,C_discount,2026-04-27 04:59:05 AM ET
KXATPCHALLENGERMATCH-26APR27WEBMON-WEB,ATP_CHALL_underdog_10-14,12,,C_discount,2026-04-27 05:19:38 AM ET
KXWTAMATCH-26APR27POTRYB-RYB,WTA_MAIN_leader_85-89,87,,C_discount,2026-04-27 05:32:43 AM ET
KXATPCHALLENGERMATCH-26APR27CECMIC-MIC,ATP_CHALL_underdog_35-39,35,,C_discount,2026-04-27 07:13:02 AM ET
KXATPCHALLENGERMATCH-26APR28SAKDAL-SAK,ATP_CHALL_leader_65-69,64,,C_discount,2026-04-28 01:41:30 AM ET
KXATPCHALLENGERMATCH-26APR28ORLPOL-POL,ATP_CHALL_leader_80-84,80,,C_discount,2026-04-28 02:02:02 AM ET
KXATPCHALLENGERMATCH-26APR28SAKSEG-SEG,ATP_CHALL_underdog_10-14,10,,C_discount,2026-04-28 02:02:45 AM ET
KXATPCHALLENGERMATCH-26APR28BARPOT-BAR,ATP_CHALL_leader_55-59,56,,C_discount,2026-04-28 02:03:59 AM ET
KXATPCHALLENGERMATCH-26APR28SCHCHO-SCH,ATP_CHALL_leader_55-59,57,,C_discount,2026-04-28 02:04:58 AM ET
KXATPCHALLENGERMATCH-26APR28SAFCRE-CRE,ATP_CHALL_underdog_20-24,23,,C_discount,2026-04-28 02:05:23 AM ET
KXATPCHALLENGERMATCH-26APR28OMAYEV-YEV,ATP_CHALL_leader_65-69,65,,deadline_force_take,2026-04-28 02:14:16 AM ET
KXATPCHALLENGERMATCH-26APR28WALCUI-WAL,ATP_CHALL_leader_75-79,78,,C_discount,2026-04-28 02:40:59 AM ET
KXATPCHALLENGERMATCH-26APR28DONMEJ-MEJ,ATP_CHALL_leader_70-74,74,,C_discount,2026-04-28 02:46:29 AM ET
KXATPCHALLENGERMATCH-26APR28REHCUE-REH,ATP_CHALL_leader_65-69,67,,C_discount,2026-04-28 02:46:31 AM ET
KXATPCHALLENGERMATCH-26APR28KUZBLA-KUZ,ATP_CHALL_underdog_45-49,49,,C_discount,2026-04-28 02:46:32 AM ET
KXATPCHALLENGERMATCH-26APR28ARNCAR-ARN,ATP_CHALL_underdog_45-49,47,,C_discount,2026-04-28 02:46:33 AM ET
KXATPCHALLENGERMATCH-26APR28HERMAR-MAR,ATP_CHALL_leader_55-59,58,,C_discount,2026-04-28 02:46:34 AM ET
KXATPCHALLENGERMATCH-26APR28FAUMON-MON,ATP_CHALL_leader_70-74,74,,C_discount,2026-04-28 02:49:10 AM ET
KXWTACHALLENGERMATCH-26APR28WERMAR-WER,WTA_CHALL_leader_55-59,59,,C_discount,2026-04-28 02:50:31 AM ET
KXATPMATCH-26APR28MEDCOB-MED,ATP_MAIN_leader_50-54,54,,C_discount,2026-04-28 03:19:13 AM ET
KXATPCHALLENGERMATCH-26APR28ARNCAR-CAR,ATP_CHALL_leader_50-54,53,,C_discount,2026-04-28 03:42:25 AM ET
KXWTACHALLENGERMATCH-26APR28MINMAS-MIN,WTA_CHALL_underdog_40-44,40,,C_discount,2026-04-28 04:45:29 AM ET
KXATPCHALLENGERMATCH-26APR28FATPIN-PIN,ATP_CHALL_leader_50-54,52,,C_discount,2026-04-28 05:17:58 AM ET
KXATPMATCH-26APR28MEDCOB-COB,ATP_MAIN_underdog_45-49,46,,C_discount,2026-04-28 05:55:47 AM ET
KXATPCHALLENGERMATCH-26APR28WAWOFN-WAW,ATP_CHALL_underdog_35-39,39,,C_discount,2026-04-28 07:27:42 AM ET
KXATPCHALLENGERMATCH-26APR28SVRGIL-GIL,ATP_CHALL_underdog_35-39,37,,C_discount,2026-04-28 08:07:55 AM ET
KXWTACHALLENGERMATCH-26APR28WANQUE-WAN,WTA_CHALL_leader_55-59,57,,C_discount,2026-04-28 08:22:41 AM ET
KXATPCHALLENGERMATCH-26APR28FORBAR-FOR,ATP_CHALL_underdog_45-49,47,,C_discount,2026-04-28 08:33:24 AM ET
KXWTACHALLENGERMATCH-26APR28TOMSOR-TOM,WTA_CHALL_leader_55-59,56,,C_discount,2026-04-28 08:55:19 AM ET
KXATPCHALLENGERMATCH-26APR28ECHGAR-GAR,ATP_CHALL_leader_80-84,82,,C_discount,2026-04-28 09:10:32 AM ET
KXATPMATCH-26APR28CERBLO-BLO,ATP_MAIN_underdog_30-34,31,,C_discount,2026-04-28 09:39:54 AM ET
KXATPCHALLENGERMATCH-26APR28FENMMO-MMO,ATP_CHALL_leader_75-79,79,,C_discount,2026-04-28 10:41:13 AM ET
KXATPCHALLENGERMATCH-26APR28VISLAL-LAL,ATP_CHALL_underdog_20-24,22,,C_discount,2026-04-28 11:48:57 AM ET
