ticker,fill_price,posted_price,bot_cell_fv_derived,fill_price_cell,mismatch,direction_flip,exit_target_absolute,exit_based_on_fill_price,exit_cents_used,cell_exit_cents_config,exit_matches_fill,play_type,ts
KXATPCHALLENGERMATCH-26APR24ERESTE-STE,48,48,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_45-49,YES,NO,54,48,6,30,NO,C_discount,2026-04-24 02:21:26 PM ET
KXATPCHALLENGERMATCH-26APR24BAXHEM-BAX,38,38,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,49,38,11,11,YES,C_discount,2026-04-24 02:55:57 PM ET
KXATPCHALLENGERMATCH-26APR24CHABEN-BEN,57,57,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,62,57,5,20,NO,C_discount,2026-04-24 03:38:06 PM ET
KXATPCHALLENGERMATCH-26APR24KWONHSU-HSU,28,28,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,NO,NO,49,28,,,,C_discount,2026-04-24 10:06:06 PM ET
KXATPCHALLENGERMATCH-26APR24HOLRIE-HOL,38,38,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_35-39,YES,NO,59,38,,,,C_discount,2026-04-24 10:17:23 PM ET
KXATPCHALLENGERMATCH-26APR25SKAFOM-FOM,23,23,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,48,23,25,15,NO,C_discount,2026-04-25 02:09:33 AM ET
KXATPMATCH-26APR24CERHAN-HAN,28,28,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_25-29,YES,NO,43,28,15,15,YES,C_discount,2026-04-25 02:10:01 AM ET
KXWTAMATCH-26APR25BENSHN-BEN,61,61,WTA_MAIN_leader_60-64,WTA_MAIN_leader_60-64,NO,NO,69,61,,,,C_discount,2026-04-25 02:26:06 AM ET
KXATPMATCH-26APR24MUNRUU-MUN,30,30,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,NO,NO,45,30,15,15,YES,C_discount,2026-04-25 02:33:47 AM ET
KXWTAMATCH-26APR25SAMBON-BON,74,74,WTA_MAIN_leader_70-74,WTA_MAIN_leader_70-74,NO,NO,98,74,24,25,YES,C_discount,2026-04-25 02:33:51 AM ET
KXWTAMATCH-26APR25BENSHN-SHN,38,38,WTA_MAIN_underdog_35-39,WTA_MAIN_underdog_35-39,NO,NO,49,38,,,,C_discount,2026-04-25 02:50:34 AM ET
KXATPMATCH-26APR24DAVCAR-CAR,35,35,ATP_MAIN_underdog_35-39,ATP_MAIN_underdog_35-39,NO,NO,47,35,,,,C_discount,2026-04-25 02:51:07 AM ET
KXATPMATCH-26APR24CERHAN-CER,71,71,ATP_MAIN_leader_70-74,ATP_MAIN_leader_70-74,NO,NO,88,71,17,17,YES,C_discount,2026-04-25 02:59:35 AM ET
KXWTAMATCH-26APR25FERJOV-FER,39,39,WTA_MAIN_underdog_35-39,WTA_MAIN_underdog_35-39,NO,NO,50,39,,,,C_discount,2026-04-25 03:16:14 AM ET
KXATPMATCH-26APR24HUMATM-HUM,44,44,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,NO,NO,53,44,,,,C_discount,2026-04-25 04:09:45 AM ET
KXATPMATCH-26APR24NAKBLO-NAK,41,41,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,NO,NO,50,41,,,,C_discount,2026-04-25 04:55:08 AM ET
KXATPMATCH-26APR25CERDAR-CER,40,40,ATP_MAIN_underdog_35-39,ATP_MAIN_underdog_40-44,YES,NO,52,40,,,,C_discount,2026-04-25 05:39:16 AM ET
KXATPMATCH-26APR24GAUAUG-GAU,23,23,ATP_MAIN_underdog_20-24,ATP_MAIN_underdog_20-24,NO,NO,48,23,,,,C_discount,2026-04-25 05:59:56 AM ET
KXWTAMATCH-26APR25BAPPAO-BAP,41,41,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,NO,NO,46,41,,,,C_discount,2026-04-25 08:54:29 AM ET
KXATPMATCH-26APR24BUBTSI-TSI,37,37,ATP_MAIN_underdog_35-39,ATP_MAIN_underdog_35-39,NO,NO,49,37,,,,C_discount,2026-04-25 11:36:39 AM ET
KXATPCHALLENGERMATCH-26APR25ONCHEM-ONC,70,70,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,77,70,7,25,NO,C_discount,2026-04-25 12:20:23 PM ET
KXATPCHALLENGERMATCH-26APR25CHASTE-STE,65,65,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,NO,NO,71,65,6,30,NO,C_discount,2026-04-25 12:48:05 PM ET
KXWTAMATCH-26APR25KALOSA-OSA,58,58,WTA_MAIN_leader_60-64,WTA_MAIN_leader_55-59,YES,NO,66,58,,,,C_discount,2026-04-25 01:01:33 PM ET
KXATPCHALLENGERMATCH-26APR25PEAPEL-PEA,39,39,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,50,39,11,11,YES,C_discount,2026-04-25 07:35:13 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,30,30,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,NO,NO,45,30,,,,C_discount,2026-04-25 09:33:34 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-KWON,72,72,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,79,72,7,25,NO,C_discount,2026-04-25 09:44:56 PM ET
KXATPMATCH-26APR26PRIETC-ETC,53,53,ATP_MAIN_leader_50-54,ATP_MAIN_leader_50-54,NO,NO,65,53,12,12,YES,C_discount,2026-04-25 09:57:21 PM ET
KXATPMATCH-26APR26LEHMIC-LEH,69,69,ATP_MAIN_leader_70-74,ATP_MAIN_leader_65-69,YES,NO,86,69,17,17,YES,C_discount,2026-04-25 11:15:46 PM ET
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,10,10,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,NO,NO,44,10,34,30,NO,C_discount,2026-04-25 11:20:17 PM ET
KXWTAMATCH-26APR26PEGKOS-PEG,58,58,WTA_MAIN_leader_55-59,WTA_MAIN_leader_55-59,NO,NO,68,58,,,,C_discount,2026-04-25 11:21:58 PM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,10,10,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,NO,NO,44,10,34,30,NO,C_discount,2026-04-25 11:33:06 PM ET
KXATPMATCH-26APR26LEHMIC-MIC,31,31,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,NO,NO,46,31,15,15,YES,C_discount,2026-04-25 11:40:35 PM ET
KXATPMATCH-26APR26PRIETC-PRI,47,47,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,NO,NO,51,47,4,4,YES,C_discount,2026-04-25 11:50:44 PM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,58,58,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,63,58,5,20,NO,deadline_force_take,2026-04-26 12:14:08 AM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,44,44,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_40-44,YES,NO,57,44,13,13,YES,deadline_force_take,2026-04-26 12:14:09 AM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,91,91,ATP_CHALL_leader_85-89,ATP_CHALL_leader_90-94,YES,NO,98,91,7,7,YES,deadline_force_take,2026-04-26 12:14:09 AM ET
KXWTAMATCH-26APR25CIRGAU-CIR,19,19,WTA_MAIN_underdog_20-24,WTA_MAIN_underdog_15-19,YES,NO,41,19,,,,C_discount,2026-04-26 12:32:03 AM ET
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,31,31,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,NO,NO,46,31,,,,C_discount,2026-04-26 12:35:12 AM ET
KXWTAMATCH-26APR25CIRGAU-GAU,80,80,WTA_MAIN_leader_80-84,WTA_MAIN_leader_80-84,NO,NO,97,80,17,17,YES,C_discount,2026-04-26 12:43:51 AM ET
KXATPMATCH-26APR26NORTIR-TIR,43,43,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,NO,NO,52,43,,,,C_discount,2026-04-26 12:50:31 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,29,29,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,NO,NO,50,29,,,,C_discount,2026-04-26 01:00:45 AM ET
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,54,54,WTA_CHALL_leader_50-54,WTA_CHALL_leader_50-54,NO,NO,74,54,,,,C_discount,2026-04-26 01:09:15 AM ET
KXWTAMATCH-26APR25SIESON-SIE,40,40,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,NO,NO,45,40,,,,C_discount,2026-04-26 01:19:49 AM ET
KXWTAMATCH-26APR25SIESON-SON,59,59,WTA_MAIN_leader_55-59,WTA_MAIN_leader_55-59,NO,NO,69,59,,,,C_discount,2026-04-26 01:21:17 AM ET
KXWTAMATCH-26APR25MERPLI-MER,68,68,WTA_MAIN_leader_65-69,WTA_MAIN_leader_65-69,NO,NO,91,68,23,23,YES,C_discount,2026-04-26 01:35:00 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-DEL,80,80,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,NO,NO,95,80,15,15,YES,C_discount,2026-04-26 01:41:34 AM ET
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,21,21,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,46,21,25,15,NO,C_discount,2026-04-26 02:08:11 AM ET
KXATPMATCH-26APR26GRIMUS-GRI,20,20,ATP_MAIN_underdog_20-24,ATP_MAIN_underdog_20-24,NO,NO,45,20,,,,C_discount,2026-04-26 02:30:57 AM ET
KXWTAMATCH-26APR26PEGKOS-KOS,42,42,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,NO,NO,47,42,,,,C_discount,2026-04-26 02:37:23 AM ET
KXATPMATCH-26APR26KOPRIN-RIN,59,59,ATP_MAIN_leader_55-59,ATP_MAIN_leader_55-59,NO,NO,72,59,,,,C_discount,2026-04-26 02:42:06 AM ET
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,62,62,WTA_CHALL_leader_60-64,WTA_CHALL_leader_60-64,NO,NO,82,62,,,,C_discount,2026-04-26 03:16:38 AM ET
KXWTACHALLENGERMATCH-26APR26KUDFER-KUD,61,61,WTA_CHALL_leader_60-64,WTA_CHALL_leader_60-64,NO,NO,81,61,,,,C_discount,2026-04-26 03:32:13 AM ET
KXATPCHALLENGERMATCH-26APR26ZHUTAK-TAK,25,25,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,NO,NO,46,25,,,,C_discount,2026-04-26 03:42:07 AM ET
KXWTAMATCH-26APR25NOSSAM-SAM,39,39,WTA_MAIN_underdog_35-39,WTA_MAIN_underdog_35-39,NO,NO,50,39,,,,C_discount,2026-04-26 04:09:50 AM ET
KXATPCHALLENGERMATCH-26APR26NICMOE-MOE,49,49,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,NO,NO,62,49,13,13,YES,C_discount,2026-04-26 04:10:36 AM ET
KXWTAMATCH-26APR26SINMCC-MCC,56,56,WTA_MAIN_leader_55-59,WTA_MAIN_leader_55-59,NO,NO,66,56,,,,C_discount,2026-04-26 04:36:42 AM ET
KXWTAMATCH-26APR25NOSSAM-NOS,61,61,WTA_MAIN_leader_60-64,WTA_MAIN_leader_60-64,NO,NO,69,61,,,,C_discount,2026-04-26 04:46:39 AM ET
KXATPCHALLENGERMATCH-26APR26GUNKRA-GUN,28,28,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,NO,NO,49,28,,,,C_discount,2026-04-26 05:48:48 AM ET
KXATPMATCH-26APR26FONJOD-FON,46,46,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,NO,NO,50,46,4,4,YES,C_discount,2026-04-26 05:55:42 AM ET
KXWTAMATCH-26APR25POTOST-POT,47,47,WTA_MAIN_underdog_45-49,WTA_MAIN_underdog_45-49,NO,NO,58,47,11,11,YES,C_discount,2026-04-26 06:09:21 AM ET
KXWTACHALLENGERMATCH-26APR26BELLEW-BEL,60,60,WTA_CHALL_leader_60-64,WTA_CHALL_leader_60-64,NO,NO,80,60,,,,C_discount,2026-04-26 08:12:29 AM ET
KXATPMATCH-26APR26KOPRIN-KOP,41,41,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,NO,NO,50,41,,,,C_discount,2026-04-26 08:56:29 AM ET
KXWTAMATCH-26APR25ZHERYB-ZHE,21,21,WTA_MAIN_underdog_20-24,WTA_MAIN_underdog_20-24,NO,NO,43,21,,,,C_discount,2026-04-26 10:41:00 AM ET
KXATPCHALLENGERMATCH-26APR26KENBAS-KEN,32,32,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,NO,NO,47,32,,,,C_discount,2026-04-26 11:21:34 AM ET
KXATPCHALLENGERMATCH-26APR26KENBAS-BAS,70,70,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,77,70,7,25,NO,C_discount,2026-04-26 11:22:38 AM ET
KXATPCHALLENGERMATCH-26APR26NEUFON-NEU,79,79,ATP_CHALL_leader_80-84,ATP_CHALL_leader_75-79,YES,NO,94,79,15,15,YES,C_discount,2026-04-26 11:40:19 AM ET
KXATPCHALLENGERMATCH-26APR26ONCSTE-ONC,73,73,ATP_CHALL_leader_75-79,ATP_CHALL_leader_70-74,YES,NO,92,73,19,10,NO,C_discount,2026-04-26 12:22:28 PM ET
KXATPCHALLENGERMATCH-26APR26BUSSUA-BUS,20,20,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,45,20,25,15,NO,C_discount,2026-04-26 12:23:09 PM ET
KXWTAMATCH-26APR27SIEPLI-PLI,63,63,WTA_MAIN_leader_60-64,WTA_MAIN_leader_60-64,NO,NO,71,63,,,,C_discount,2026-04-26 01:03:58 PM ET
KXATPCHALLENGERMATCH-26APR26KUHSAN-SAN,24,24,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,39,24,15,15,YES,C_discount,2026-04-26 03:31:26 PM ET
KXATPCHALLENGERMATCH-26APR26ILAPEA-PEA,14,14,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,NO,NO,44,14,30,30,YES,C_discount,2026-04-26 07:44:27 PM ET
KXWTAMATCH-26APR27BENBAP-BEN,70,70,WTA_MAIN_leader_70-74,WTA_MAIN_leader_70-74,NO,NO,95,70,25,25,YES,C_discount,2026-04-26 08:07:34 PM ET
KXATPCHALLENGERMATCH-26APR26ILAPEA-ILA,84,84,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,NO,NO,98,84,14,15,YES,C_discount,2026-04-26 08:53:26 PM ET
KXATPCHALLENGERMATCH-26APR27MOCCAM-MOC,22,22,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,37,22,15,15,YES,C_discount,2026-04-26 09:28:30 PM ET
KXATPCHALLENGERMATCH-26APR27ORLVIT-VIT,22,22,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,37,22,15,15,YES,C_discount,2026-04-26 09:28:31 PM ET
KXATPCHALLENGERMATCH-26APR26SHAMOR-MOR,22,22,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,37,22,15,15,YES,C_discount,2026-04-26 09:41:49 PM ET
KXATPCHALLENGERMATCH-26APR27GALSWE-SWE,43,43,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_40-44,NO,NO,73,43,30,30,YES,C_discount,2026-04-26 11:19:18 PM ET
KXATPCHALLENGERMATCH-26APR27MATJAS-JAS,40,40,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_40-44,NO,NO,70,40,30,30,YES,C_discount,2026-04-26 11:43:20 PM ET
KXATPCHALLENGERMATCH-26APR27LAJSAN-LAJ,72,72,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,97,72,25,25,YES,C_discount,2026-04-26 11:44:07 PM ET
KXATPCHALLENGERMATCH-26APR27MILTOK-MIL,55,55,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,75,55,20,20,YES,C_discount,2026-04-26 11:44:09 PM ET
KXWTACHALLENGERMATCH-26APR27MIKLAN-MIK,43,43,WTA_CHALL_underdog_40-44,WTA_CHALL_underdog_40-44,NO,NO,73,43,30,30,YES,C_discount,2026-04-26 11:45:40 PM ET
KXATPCHALLENGERMATCH-26APR27GALSWE-GAL,57,57,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,77,57,20,20,YES,C_discount,2026-04-26 11:45:41 PM ET
KXWTAMATCH-26APR27ANDBON-AND,83,83,WTA_MAIN_leader_80-84,WTA_MAIN_leader_80-84,NO,NO,98,83,15,17,YES,C_discount,2026-04-26 11:54:38 PM ET
KXATPCHALLENGERMATCH-26APR27MASDEL-MAS,69,69,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,NO,NO,98,69,29,30,YES,C_discount,2026-04-27 12:06:55 AM ET
KXATPCHALLENGERMATCH-26APR27BROGAK-BRO,39,39,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,50,39,11,11,YES,C_discount,2026-04-27 12:36:15 AM ET
KXATPCHALLENGERMATCH-26APR27BERERH-ERH,55,55,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,75,55,20,20,YES,C_discount,2026-04-27 01:13:25 AM ET
KXATPCHALLENGERMATCH-26APR27JORIAN-IAN,38,38,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,49,38,11,11,YES,C_discount,2026-04-27 01:31:35 AM ET
KXATPCHALLENGERMATCH-26APR27ARNCAS-ARN,85,85,ATP_CHALL_leader_85-89,ATP_CHALL_leader_85-89,NO,NO,92,85,7,7,YES,C_discount,2026-04-27 01:36:32 AM ET
KXWTAMATCH-26APR27BENBAP-BAP,31,31,WTA_MAIN_underdog_25-29,WTA_MAIN_underdog_30-34,YES,NO,52,31,21,21,YES,C_discount,2026-04-27 01:38:49 AM ET
KXATPCHALLENGERMATCH-26APR27BOISIN-SIN,51,51,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,NO,NO,66,51,15,15,YES,C_discount,2026-04-27 01:38:51 AM ET
KXATPCHALLENGERMATCH-26APR27KIRFUK-FUK,20,20,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,35,20,15,15,YES,C_discount,2026-04-27 02:13:37 AM ET
KXATPCHALLENGERMATCH-26APR27PIEWIS-PIE,52,52,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,NO,NO,67,52,15,15,YES,C_discount,2026-04-27 02:34:33 AM ET
KXATPCHALLENGERMATCH-26APR27BRUKRA-BRU,74,74,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,98,74,24,25,YES,C_discount,2026-04-27 04:10:58 AM ET
KXATPCHALLENGERMATCH-26APR27CERMOL-MOL,55,55,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,75,55,20,20,YES,C_discount,2026-04-27 04:59:05 AM ET
KXATPCHALLENGERMATCH-26APR27WEBMON-WEB,12,12,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,NO,NO,42,12,30,30,YES,C_discount,2026-04-27 05:19:38 AM ET
KXWTAMATCH-26APR27POTRYB-RYB,87,87,WTA_MAIN_leader_85-89,WTA_MAIN_leader_85-89,NO,NO,98,87,11,14,YES,C_discount,2026-04-27 05:32:43 AM ET
KXATPCHALLENGERMATCH-26APR27CECMIC-MIC,35,35,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,46,35,11,11,YES,C_discount,2026-04-27 07:13:02 AM ET
KXATPCHALLENGERMATCH-26APR28SAKDAL-SAK,64,64,ATP_CHALL_leader_65-69,ATP_CHALL_leader_60-64,YES,NO,94,64,30,30,YES,C_discount,2026-04-28 01:41:30 AM ET
KXATPCHALLENGERMATCH-26APR28ORLPOL-POL,80,80,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,NO,NO,95,80,15,15,YES,C_discount,2026-04-28 02:02:02 AM ET
KXATPCHALLENGERMATCH-26APR28SAKSEG-SEG,10,10,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,NO,NO,40,10,30,30,YES,C_discount,2026-04-28 02:02:45 AM ET
KXATPCHALLENGERMATCH-26APR28BARPOT-BAR,56,56,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,76,56,20,20,YES,C_discount,2026-04-28 02:03:59 AM ET
KXATPCHALLENGERMATCH-26APR28SCHCHO-SCH,57,57,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,77,57,20,20,YES,C_discount,2026-04-28 02:04:58 AM ET
KXATPCHALLENGERMATCH-26APR28SAFCRE-CRE,23,23,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,38,23,15,15,YES,C_discount,2026-04-28 02:05:23 AM ET
KXATPCHALLENGERMATCH-26APR28OMAYEV-YEV,65,65,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,NO,NO,95,65,30,30,YES,deadline_force_take,2026-04-28 02:14:16 AM ET
KXATPCHALLENGERMATCH-26APR28WALCUI-WAL,78,78,ATP_CHALL_leader_75-79,ATP_CHALL_leader_75-79,NO,NO,88,78,10,10,YES,C_discount,2026-04-28 02:40:59 AM ET
KXATPCHALLENGERMATCH-26APR28DONMEJ-MEJ,74,74,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,98,74,24,25,YES,C_discount,2026-04-28 02:46:29 AM ET
KXATPCHALLENGERMATCH-26APR28REHCUE-REH,67,67,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,NO,NO,97,67,30,30,YES,C_discount,2026-04-28 02:46:31 AM ET
KXATPCHALLENGERMATCH-26APR28KUZBLA-KUZ,49,49,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,NO,NO,62,49,13,13,YES,C_discount,2026-04-28 02:46:32 AM ET
KXATPCHALLENGERMATCH-26APR28ARNCAR-ARN,47,47,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,NO,NO,60,47,13,13,YES,C_discount,2026-04-28 02:46:33 AM ET
KXATPCHALLENGERMATCH-26APR28HERMAR-MAR,58,58,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,78,58,20,20,YES,C_discount,2026-04-28 02:46:34 AM ET
KXATPCHALLENGERMATCH-26APR28FAUMON-MON,74,74,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,NO,NO,98,74,24,25,YES,C_discount,2026-04-28 02:49:10 AM ET
KXWTACHALLENGERMATCH-26APR28WERMAR-WER,59,59,WTA_CHALL_leader_55-59,WTA_CHALL_leader_55-59,NO,NO,79,59,20,20,YES,C_discount,2026-04-28 02:50:31 AM ET
KXATPMATCH-26APR28MEDCOB-MED,54,54,ATP_MAIN_leader_50-54,ATP_MAIN_leader_50-54,NO,NO,66,54,12,12,YES,C_discount,2026-04-28 03:19:13 AM ET
KXATPCHALLENGERMATCH-26APR28ARNCAR-CAR,53,53,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,NO,NO,68,53,15,15,YES,C_discount,2026-04-28 03:42:25 AM ET
KXWTACHALLENGERMATCH-26APR28MINMAS-MIN,40,40,WTA_CHALL_underdog_40-44,WTA_CHALL_underdog_40-44,NO,NO,70,40,30,30,YES,C_discount,2026-04-28 04:45:29 AM ET
KXATPCHALLENGERMATCH-26APR28FATPIN-PIN,52,52,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,NO,NO,67,52,15,15,YES,C_discount,2026-04-28 05:17:58 AM ET
KXATPMATCH-26APR28MEDCOB-COB,46,46,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,NO,NO,50,46,4,4,YES,C_discount,2026-04-28 05:55:47 AM ET
KXATPCHALLENGERMATCH-26APR28WAWOFN-WAW,39,39,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,50,39,11,11,YES,C_discount,2026-04-28 07:27:42 AM ET
KXATPCHALLENGERMATCH-26APR28SVRGIL-GIL,37,37,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,NO,NO,48,37,11,11,YES,C_discount,2026-04-28 08:07:55 AM ET
KXWTACHALLENGERMATCH-26APR28WANQUE-WAN,57,57,WTA_CHALL_leader_55-59,WTA_CHALL_leader_55-59,NO,NO,77,57,20,20,YES,C_discount,2026-04-28 08:22:41 AM ET
KXATPCHALLENGERMATCH-26APR28FORBAR-FOR,47,47,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,NO,NO,60,47,13,13,YES,C_discount,2026-04-28 08:33:24 AM ET
KXWTACHALLENGERMATCH-26APR28TOMSOR-TOM,56,56,WTA_CHALL_leader_55-59,WTA_CHALL_leader_55-59,NO,NO,76,56,20,20,YES,C_discount,2026-04-28 08:55:19 AM ET
KXATPCHALLENGERMATCH-26APR28ECHGAR-GAR,82,82,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,NO,NO,97,82,15,15,YES,C_discount,2026-04-28 09:10:32 AM ET
KXATPMATCH-26APR28CERBLO-BLO,31,31,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,NO,NO,46,31,15,15,YES,C_discount,2026-04-28 09:39:54 AM ET
KXATPCHALLENGERMATCH-26APR28FENMMO-MMO,79,79,ATP_CHALL_leader_75-79,ATP_CHALL_leader_75-79,NO,NO,89,79,10,10,YES,C_discount,2026-04-28 10:41:13 AM ET
KXATPCHALLENGERMATCH-26APR28VISLAL-LAL,22,22,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,NO,NO,37,22,15,15,YES,C_discount,2026-04-28 11:48:57 AM ET
KXATPCHALLENGERMATCH-26APR28GIUBIT-GIU,68,68,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,NO,NO,98,68,30,30,YES,C_discount,2026-04-28 12:54:39 PM ET
KXATPCHALLENGERMATCH-26APR28STRBAX-STR,45,45,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,NO,NO,58,45,13,13,YES,C_discount,2026-04-28 02:13:54 PM ET
KXATPMATCH-26APR28MENZVE-MEN,33,33,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,NO,NO,48,33,15,15,YES,C_discount,2026-04-28 02:53:06 PM ET
KXATPCHALLENGERMATCH-26APR28GEEXIL-XIL,41,41,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_40-44,NO,NO,71,41,30,30,YES,C_discount,2026-04-28 03:54:27 PM ET
